dataset,metric,threshold,similarity
pvivax,Betweenness,0.15,0.7987711213517665
pvivax,Betweenness,0.16,0.9831029185867897
pvivax,Betweenness,0.17,0.860215053763441
pvivax,Betweenness,0.18,0.9216589861751153
pvivax,Betweenness,0.19,0.9523809523809524
pvivax,Betweenness,0.2,0.9523809523809524
pvivax,Betweenness,0.21,0.9523809523809524
pvivax,Betweenness,0.22,0.8909370199692781
pvivax,Betweenness,0.23,0.9523809523809524
pvivax,Betweenness,0.24,0.9831029185867897
pvivax,Betweenness,0.25,0.9523809523809524
pvivax,Betweenness,0.26,0.860215053763441
pvivax,Betweenness,0.27,0.9523809523809524
pvivax,Betweenness,0.28,0.9831029185867897
pvivax,Betweenness,0.29,0.9831029185867897
pvivax,Betweenness,0.3,0.9523809523809524
pvivax,Betweenness,0.31,0.9523809523809524
pvivax,Betweenness,0.32,1.0
pvivax,Betweenness,0.33,0.9523809523809524
pvivax,Betweenness,0.34,0.9831029185867897
pvivax,Betweenness,0.35,1.0
pvivax,Betweenness,0.36,0.9831029185867897
pvivax,Betweenness,0.37,0.9831029185867897
pvivax,Betweenness,0.38,1.0
pvivax,Betweenness,0.39,0.9523809523809524
pvivax,Betweenness,0.4,0.9523809523809524
pvivax,Betweenness,0.41,0.9831029185867897
pvivax,Betweenness,0.42,0.9523809523809524
pvivax,Betweenness,0.43,0.8909370199692781
pvivax,Betweenness,0.44,0.9523809523809524
pvivax,Betweenness,0.45,0.9831029185867897
pvivax,Betweenness,0.46,0.9523809523809524
pvivax,Betweenness,0.47,0.9523809523809524
pvivax,Betweenness,0.48,0.9216589861751153
pvivax,Betweenness,0.49,0.9216589861751153
pvivax,Betweenness,0.5,0.9831029185867897
pvivax,Betweenness,0.51,0.9831029185867897
pvivax,Betweenness,0.52,0.9523809523809524
pvivax,Betweenness,0.53,0.9523809523809524
pvivax,Betweenness,0.54,0.9216589861751153
pvivax,Betweenness,0.55,0.9523809523809524
pvivax,Betweenness,0.56,0.9523809523809524
pvivax,Betweenness,0.57,0.9216589861751153
pvivax,Betweenness,0.58,0.9523809523809524
pvivax,Betweenness,0.59,0.9523809523809524
pvivax,Betweenness,0.6,0.9523809523809524
pvivax,Betweenness,0.61,0.9216589861751153
pvivax,Betweenness,0.62,0.9523809523809524
pvivax,Betweenness,0.63,0.9523809523809524
pvivax,Betweenness,0.64,0.9523809523809524
pvivax,Betweenness,0.65,0.9216589861751153
pvivax,Betweenness,0.66,0.9216589861751153
pvivax,Betweenness,0.67,0.9523809523809524
pvivax,Betweenness,0.68,0.8909370199692781
pvivax,Betweenness,0.69,0.9216589861751153
pvivax,Betweenness,0.7,0.8909370199692781
pvivax,Betweenness,0.71,0.9216589861751153
pvivax,Betweenness,0.72,0.8909370199692781
pvivax,Betweenness,0.73,0.9216589861751153
pvivax,Betweenness,0.74,0.9216589861751153
pvivax,Betweenness,0.75,0.8909370199692781
pvivax,Betweenness,0.76,0.9216589861751153
pvivax,Betweenness,0.77,0.9523809523809524
pvivax,Betweenness,0.78,0.860215053763441
pvivax,Betweenness,0.79,0.9523809523809524
pvivax,Betweenness,0.8,0.8909370199692781
pvivax,Betweenness,0.81,0.8294930875576038
pvivax,Betweenness,0.82,0.8909370199692781
