dataset,metric,threshold,similarity
pvivax,Betweenness,0.2,0.522273425499232
pvivax,Betweenness,0.21,0.522273425499232
pvivax,Betweenness,0.22,0.522273425499232
pvivax,Betweenness,0.23,0.522273425499232
pvivax,Betweenness,0.24,0.522273425499232
pvivax,Betweenness,0.25,0.5529953917050692
pvivax,Betweenness,0.26,0.522273425499232
pvivax,Betweenness,0.27,0.5529953917050692
pvivax,Betweenness,0.28,0.5529953917050692
pvivax,Betweenness,0.29,0.5529953917050692
pvivax,Betweenness,0.3,0.5529953917050692
pvivax,Betweenness,0.31,0.5529953917050692
pvivax,Betweenness,0.32,0.6144393241167435
pvivax,Betweenness,0.33,0.6144393241167435
pvivax,Betweenness,0.34,0.6451612903225807
pvivax,Betweenness,0.35,0.6144393241167435
pvivax,Betweenness,0.36,0.6144393241167435
pvivax,Betweenness,0.37,0.6144393241167435
pvivax,Betweenness,0.38,0.6758832565284179
pvivax,Betweenness,0.39,0.6451612903225807
pvivax,Betweenness,0.4,0.6451612903225807
pvivax,Betweenness,0.41,0.6451612903225807
pvivax,Betweenness,0.42,0.6451612903225807
pvivax,Betweenness,0.43,0.6758832565284179
pvivax,Betweenness,0.44,0.7066052227342551
pvivax,Betweenness,0.45,0.7066052227342551
pvivax,Betweenness,0.46,0.7373271889400922
pvivax,Betweenness,0.47,0.7373271889400922
pvivax,Betweenness,0.48,0.7680491551459294
pvivax,Betweenness,0.49,0.7680491551459294
pvivax,Betweenness,0.5,0.7373271889400922
pvivax,Betweenness,0.51,0.7680491551459294
pvivax,Betweenness,0.52,0.7680491551459294
pvivax,Betweenness,0.53,0.7373271889400922
pvivax,Betweenness,0.54,0.7373271889400922
pvivax,Betweenness,0.55,0.7680491551459294
pvivax,Betweenness,0.56,0.7987711213517665
pvivax,Betweenness,0.57,0.7987711213517665
pvivax,Betweenness,0.58,0.7987711213517665
pvivax,Betweenness,0.59,0.8294930875576038
pvivax,Betweenness,0.6,0.860215053763441
pvivax,Betweenness,0.61,0.8909370199692781
pvivax,Betweenness,0.62,0.8909370199692781
pvivax,Betweenness,0.63,0.8909370199692781
pvivax,Betweenness,0.64,0.8294930875576038
pvivax,Betweenness,0.65,0.8909370199692781
pvivax,Betweenness,0.66,0.8909370199692781
pvivax,Betweenness,0.72,0.8909370199692781
pvivax,Betweenness,0.73,0.8909370199692781
pvivax,Betweenness,0.74,0.9216589861751153
pvivax,Betweenness,0.75,0.9523809523809524
pvivax,Betweenness,0.76,0.9523809523809524
pvivax,Betweenness,0.77,0.9831029185867897
pvivax,Betweenness,0.78,0.9831029185867897
pvivax,Betweenness,0.71,0.8909370199692781
pvivax,Betweenness,0.79,0.9523809523809524
pvivax,Betweenness,0.8,0.9523809523809524
pvivax,Betweenness,0.81,0.860215053763441
pvivax,Betweenness,0.82,0.7987711213517665
pvivax,Betweenness,0.7,0.8909370199692781
pvivax,Betweenness,0.83,0.860215053763441
pvivax,Betweenness,0.67,0.8909370199692781
pvivax,Betweenness,0.69,0.8909370199692781
pvivax,Betweenness,0.68,0.8909370199692781
pvivax,Betweenness,0.84,0.7680491551459294
pvivax,Betweenness,0.85,0.7987711213517665
pvivax,Betweenness,0.86,0.7680491551459294
pvivax,Betweenness,0.87,0.7680491551459294
pvivax,Betweenness,0.99,0.18433179723502305
pvivax,Betweenness,0.88,0.7987711213517665
pvivax,Betweenness,0.98,0.39938556067588327
pvivax,Betweenness,0.95,0.6451612903225807
pvivax,Betweenness,0.97,0.522273425499232
pvivax,Betweenness,0.96,0.5529953917050692
pvivax,Betweenness,0.94,0.6451612903225807
pvivax,Betweenness,0.93,0.6144393241167435
pvivax,Betweenness,0.92,0.7373271889400922
pvivax,Betweenness,0.91,0.7066052227342551
pvivax,Betweenness,0.19,0.522273425499232
pvivax,Betweenness,0.9,0.7373271889400922
pvivax,Betweenness,0.89,0.7066052227342551
pvivax,Betweenness,0.18,0.49155145929339483
pvivax,Betweenness,0.17,0.522273425499232
pvivax,Betweenness,0.16,0.4301075268817205
pvivax,Betweenness,0.15,0.4301075268817205
pvivax,Degree,0.2,0.09216589861751152
pvivax,Degree,0.21,0.09216589861751152
pvivax,Degree,0.22,0.09216589861751152
pvivax,Degree,0.23,0.09216589861751152
pvivax,Degree,0.24,0.09216589861751152
pvivax,Degree,0.25,0.09216589861751152
pvivax,Degree,0.26,0.09216589861751152
pvivax,Degree,0.27,0.09216589861751152
pvivax,Degree,0.28,0.09216589861751152
pvivax,Degree,0.29,0.09216589861751152
pvivax,Degree,0.3,0.09216589861751152
pvivax,Degree,0.31,0.09216589861751152
pvivax,Degree,0.32,0.09216589861751152
